stage_idx,chapter,stage_num,wave,stage_name,monster_idx
101,1,1,1,파멸의 진영,1101
101,1,1,2,파멸의 진영,1102
101,1,1,3,파멸의 진영,1103
101,1,1,4,파멸의 진영,1150
102,1,2,1,핏빛 교전지대,1201
102,1,2,2,핏빛 교전지대,1202
102,1,2,3,핏빛 교전지대,1203
102,1,2,4,핏빛 교전지대,1250
103,1,3,1,원한의 묘지,1301
103,1,3,2,원한의 묘지,1302
103,1,3,3,원한의 묘지,1303
103,1,3,4,원한의 묘지,1350
104,1,4,1,사탄의 제단,1401
104,1,4,2,사탄의 제단,1402
104,1,4,3,사탄의 제단,1403
104,1,4,4,사탄의 제단,1900
201,2,1,1,변형의 경계,2101
201,2,1,2,변형의 경계,2102
201,2,1,3,변형의 경계,2103
201,2,1,4,변형의 경계,2150
202,2,2,1,독무의 심림,2201
202,2,2,2,독무의 심림,2202
202,2,2,3,독무의 심림,2203
202,2,2,4,독무의 심림,2250
203,2,3,1,부패한 뿌리,2301
203,2,3,2,부패한 뿌리,2302
203,2,3,3,부패한 뿌리,2303
203,2,3,4,부패한 뿌리,2350
204,2,4,4,레비아탄의 심연,2900
301,3,1,1,모래에 묻힌 폐허,3101
301,3,1,2,모래에 묻힌 폐허,3102
301,3,1,3,모래에 묻힌 폐허,3103
301,3,1,4,모래에 묻힌 폐허,3150
302,3,2,1,저주받은 지하묘지,3201
302,3,2,2,저주받은 지하묘지,3202
302,3,2,3,저주받은 지하묘지,3203
302,3,2,4,저주받은 지하묘지,3250
303,3,3,1,황금 보물고,3301
303,3,3,2,황금 보물고,3302
303,3,3,3,황금 보물고,3303
303,3,3,4,황금 보물고,3350
304,3,4,4,맘몬의 황금궁,3900
401,4,1,1,얼어붙은 평원,4101
401,4,1,2,얼어붙은 평원,4102
401,4,1,3,얼어붙은 평원,4103
401,4,1,4,얼어붙은 평원,4150
402,4,2,1,빙하 요새,4201
402,4,2,2,빙하 요새,4202
402,4,2,3,빙하 요새,4203
402,4,2,4,빙하 요새,4250
403,4,3,1,영구동결의 심부,4301
403,4,3,2,영구동결의 심부,4302
403,4,3,3,영구동결의 심부,4303
403,4,3,4,영구동결의 심부,4350
404,4,4,4,벨페고르의 동결왕좌,4900
501,5,1,1,탐식의 입구,5101
501,5,1,2,탐식의 입구,5102
501,5,1,3,탐식의 입구,5103
501,5,1,4,탐식의 입구,5150
502,5,2,1,맥동하는 미로,5201
502,5,2,2,맥동하는 미로,5202
502,5,2,3,맥동하는 미로,5203
502,5,2,4,맥동하는 미로,5250
503,5,3,1,소화의 심연,5301
503,5,3,2,소화의 심연,5302
503,5,3,3,소화의 심연,5303
503,5,3,4,소화의 심연,5350
504,5,4,4,바알제붑의 연회장,5900
601,6,1,1,부패한 정원,6101
601,6,1,2,부패한 정원,6102
601,6,1,3,부패한 정원,6103
601,6,1,4,부패한 정원,6150
602,6,2,1,유혹의 회랑,6201
602,6,2,2,유혹의 회랑,6202
602,6,2,3,유혹의 회랑,6203
602,6,2,4,유혹의 회랑,6250
603,6,3,1,욕망의 왕좌,6301
603,6,3,2,욕망의 왕좌,6302
603,6,3,3,욕망의 왕좌,6303
603,6,3,4,욕망의 왕좌,6350
604,6,4,4,아스모데우스의 침실,6900
701,7,1,1,천상의 계단,7101
701,7,1,2,천상의 계단,7102
701,7,1,3,천상의 계단,7103
701,7,1,4,천상의 계단,7150
702,7,2,1,무너진 신전,7201
702,7,2,2,무너진 신전,7202
702,7,2,3,무너진 신전,7203
702,7,2,4,무너진 신전,7250
703,7,3,1,오만의 왕좌,7301
703,7,3,2,오만의 왕좌,7302
703,7,3,3,오만의 왕좌,7303
703,7,3,4,오만의 왕좌,7350
704,7,4,4,루시퍼의 빈 옥좌,7900
